entity,entity_type,degree_centrality,degree,total_weight,eigenvector_centrality,pagerank,betweenness_centrality,closeness_centrality,time_window,network_type,momentum_delta,momentum_label
Charlotte FC,club,0.111111,3,6,0.015124,0.009417,0.002659,0.529412,2019_Q3,club_cooccurrence,-0.000693,stable
FC Dallas,club,0.703704,19,63,0.201668,0.04275,0.042735,0.771429,2019_Q3,club_cooccurrence,-0.001794,stable
Toronto FC,club,0.851852,23,81,0.247285,0.053194,0.067952,0.870968,2019_Q3,club_cooccurrence,-0.000229,stable
FC Cincinnati,club,0.333333,9,28,0.060377,0.025341,0.026353,0.6,2019_Q3,club_cooccurrence,-0.017154,falling
Orlando City SC,club,0.740741,20,78,0.246543,0.053151,0.023362,0.794118,2019_Q3,club_cooccurrence,0.025616,rising
LA Galaxy,club,0.703704,19,88,0.295891,0.056427,0.011562,0.771429,2019_Q3,club_cooccurrence,0.004357,rising
LAFC,club,0.740741,20,74,0.247435,0.048736,0.064932,0.794118,2019_Q3,club_cooccurrence,0.015959,rising
Colorado Rapids,club,0.777778,21,67,0.216906,0.046046,0.080844,0.794118,2019_Q3,club_cooccurrence,0.020165,rising
Chicago Fire FC,club,0.555556,15,48,0.160689,0.032984,0.029487,0.675,2019_Q3,club_cooccurrence,-0.009509,falling
Houston Dynamo FC,club,0.481481,13,42,0.156088,0.029386,0.001947,0.642857,2019_Q3,club_cooccurrence,0.002908,rising
CF Montreal,club,0.62963,17,71,0.21944,0.047142,0.013105,0.72973,2019_Q3,club_cooccurrence,-0.0081,falling
D.C. United,club,0.592593,16,53,0.174213,0.03637,0.025308,0.710526,2019_Q3,club_cooccurrence,0.00866,rising
New England Revolution,club,0.518519,14,45,0.148177,0.031585,0.024335,0.658537,2019_Q3,club_cooccurrence,-0.003918,falling
Philadelphia Union,club,0.555556,15,44,0.152863,0.030971,0.033745,0.692308,2019_Q3,club_cooccurrence,-0.015284,falling
Portland Timbers,club,0.777778,21,116,0.393556,0.072597,0.004748,0.794118,2019_Q3,club_cooccurrence,0.028274,rising
Vancouver Whitecaps FC,club,0.444444,12,32,0.10056,0.024875,0.023712,0.642857,2019_Q3,club_cooccurrence,-0.011843,falling
Minnesota United FC,club,0.62963,17,54,0.177617,0.037715,0.031315,0.72973,2019_Q3,club_cooccurrence,0.013051,rising
New York City FC,club,0.407407,11,27,0.081195,0.021663,0.016667,0.627907,2019_Q3,club_cooccurrence,-0.007079,falling
Real Salt Lake,club,0.333333,9,35,0.139147,0.025072,0.004012,0.586957,2019_Q3,club_cooccurrence,-0.007706,falling
Seattle Sounders FC,club,0.814815,22,112,0.370578,0.071363,0.00641,0.84375,2019_Q3,club_cooccurrence,0.015374,rising
Columbus Crew,club,0.62963,17,61,0.199802,0.041076,0.008717,0.72973,2019_Q3,club_cooccurrence,0.000633,stable
Sporting Kansas City,club,0.407407,11,25,0.074548,0.020555,0.035802,0.627907,2019_Q3,club_cooccurrence,-0.001892,stable
San Jose Earthquakes,club,0.37037,10,37,0.15335,0.026313,0.005698,0.6,2019_Q3,club_cooccurrence,0.005976,rising
Atlanta United FC,club,0.592593,16,48,0.162798,0.033353,0.040502,0.692308,2019_Q3,club_cooccurrence,-0.02047,falling
New York Red Bulls,club,0.333333,9,20,0.070461,0.016976,0.02441,0.574468,2019_Q3,club_cooccurrence,-0.009706,falling
Austin FC,club,0.4,10,33,0.062502,0.028548,0.020667,0.609756,2019_Q4,club_cooccurrence,0.001349,stable
Charlotte FC,club,0.28,7,28,0.064158,0.024341,0.002778,0.555556,2019_Q4,club_cooccurrence,0.01626,rising
FC Cincinnati,club,0.32,8,20,0.040856,0.019537,0.042241,0.581395,2019_Q4,club_cooccurrence,-0.020053,falling
Inter Miami CF,club,0.52,13,54,0.138108,0.040572,0.018056,0.641026,2019_Q4,club_cooccurrence,0.01026,rising
Nashville SC,club,0.6,15,48,0.10704,0.037694,0.045741,0.714286,2019_Q4,club_cooccurrence,0.009659,rising
Colorado Rapids,club,0.4,10,26,0.065212,0.022667,0.028981,0.609756,2019_Q4,club_cooccurrence,-0.00861,falling
FC Dallas,club,0.6,15,76,0.237539,0.057842,0.081778,0.714286,2019_Q4,club_cooccurrence,0.013736,rising
LA Galaxy,club,0.68,17,89,0.285072,0.061329,0.01037,0.757576,2019_Q4,club_cooccurrence,0.008161,rising
LAFC,club,0.84,21,144,0.429857,0.097336,0.024444,0.862069,2019_Q4,club_cooccurrence,0.064068,rising
Vancouver Whitecaps FC,club,0.4,10,30,0.071492,0.025105,0.003889,0.609756,2019_Q4,club_cooccurrence,-0.008839,falling
CF Montreal,club,0.64,16,62,0.180167,0.045746,0.047722,0.714286,2019_Q4,club_cooccurrence,-0.008349,falling
Seattle Sounders FC,club,0.8,20,181,0.497377,0.121626,0.008333,0.833333,2019_Q4,club_cooccurrence,0.064407,rising
Atlanta United FC,club,0.76,19,86,0.275509,0.060702,0.153093,0.806452,2019_Q4,club_cooccurrence,0.011673,rising
Chicago Fire FC,club,0.36,9,28,0.090116,0.023636,0.01,0.595238,2019_Q4,club_cooccurrence,-0.017796,falling
Portland Timbers,club,0.56,14,37,0.104899,0.034444,0.144944,0.694444,2019_Q4,club_cooccurrence,-0.018818,falling
D.C. United,club,0.6,15,43,0.119612,0.033341,0.040593,0.694444,2019_Q4,club_cooccurrence,0.004127,rising
Sporting Kansas City,club,0.16,4,9,0.034248,0.01113,0.019278,0.520833,2019_Q4,club_cooccurrence,-0.010697,falling
Columbus Crew,club,0.24,6,15,0.045015,0.015079,0.010778,0.543478,2019_Q4,club_cooccurrence,-0.027009,falling
Toronto FC,club,0.68,17,115,0.374214,0.077991,0.035556,0.757576,2019_Q4,club_cooccurrence,0.025582,rising
New York City FC,club,0.64,16,64,0.19053,0.046907,0.074074,0.714286,2019_Q4,club_cooccurrence,0.021013,rising
Philadelphia Union,club,0.4,10,23,0.062303,0.020955,0.059815,0.625,2019_Q4,club_cooccurrence,-0.023415,falling
Minnesota United FC,club,0.32,8,32,0.126073,0.025091,0.001111,0.581395,2019_Q4,club_cooccurrence,-0.002427,falling
New York Red Bulls,club,0.2,5,17,0.052622,0.016408,0.0,0.531915,2019_Q4,club_cooccurrence,-0.007706,falling
San Jose Earthquakes,club,0.04,1,2,0.002413,0.007352,0.0,0.416667,2019_Q4,club_cooccurrence,-0.014756,falling
Real Salt Lake,club,0.44,11,51,0.191333,0.036913,0.005278,0.641026,2019_Q4,club_cooccurrence,0.007183,rising
Orlando City SC,club,0.04,1,3,0.008198,0.00771,0.0,0.423729,2019_Q4,club_cooccurrence,-0.027319,falling
Colorado Rapids,club,0.888889,24,164,0.154192,0.032475,0.008174,0.9,2020,club_cooccurrence,0.001062,stable
Houston Dynamo FC,club,0.814815,22,115,0.104034,0.024478,0.006512,0.84375,2020,club_cooccurrence,-0.006475,falling
Atlanta United FC,club,0.851852,23,158,0.156377,0.031462,0.064842,0.870968,2020,club_cooccurrence,-0.009098,falling
Charlotte FC,club,0.407407,11,39,0.02745,0.01257,0.119658,0.627907,2020,club_cooccurrence,-0.004309,falling
FC Dallas,club,0.888889,24,195,0.1917,0.037459,0.024691,0.9,2020,club_cooccurrence,-0.002466,falling
Seattle Sounders FC,club,0.925926,25,266,0.250047,0.049476,0.009734,0.931034,2020,club_cooccurrence,-0.034573,falling
CF Montreal,club,1.0,27,328,0.286023,0.060705,0.0,1.0,2020,club_cooccurrence,0.002293,rising
Nashville SC,club,0.925926,25,275,0.261771,0.050754,0.013058,0.931034,2020,club_cooccurrence,0.025999,rising
Philadelphia Union,club,0.925926,25,187,0.181605,0.036142,0.011396,0.931034,2020,club_cooccurrence,0.005197,rising
Austin FC,club,0.555556,15,66,0.055992,0.017485,0.037749,0.692308,2020,club_cooccurrence,-0.007589,falling
LAFC,club,0.925926,25,300,0.281527,0.054659,0.003561,0.931034,2020,club_cooccurrence,-0.003494,falling
Orlando City SC,club,1.0,27,379,0.342755,0.06838,0.0,1.0,2020,club_cooccurrence,0.034746,rising
Vancouver Whitecaps FC,club,0.888889,24,272,0.261715,0.050088,0.0,0.9,2020,club_cooccurrence,0.020938,rising
Real Salt Lake,club,0.814815,22,196,0.199044,0.03725,0.009972,0.84375,2020,club_cooccurrence,0.007409,rising
Inter Miami CF,club,0.962963,26,218,0.198701,0.041884,0.023552,0.964286,2020,club_cooccurrence,0.012232,rising
Portland Timbers,club,0.962963,26,227,0.213111,0.043044,0.002374,0.964286,2020,club_cooccurrence,-0.005533,falling
LA Galaxy,club,0.962963,26,243,0.225654,0.045497,0.002849,0.964286,2020,club_cooccurrence,-0.011024,falling
New England Revolution,club,0.740741,20,78,0.07111,0.018303,0.04479,0.794118,2020,club_cooccurrence,-0.023532,falling
Toronto FC,club,0.925926,25,332,0.311809,0.060138,0.000712,0.931034,2020,club_cooccurrence,-0.005123,falling
Chicago Fire FC,club,0.740741,20,75,0.071391,0.01771,0.147015,0.794118,2020,club_cooccurrence,-0.015954,falling
Sporting Kansas City,club,0.777778,21,107,0.100916,0.022901,0.055081,0.818182,2020,club_cooccurrence,0.002,stable
New York City FC,club,0.925926,25,144,0.127115,0.030072,0.01261,0.931034,2020,club_cooccurrence,-0.004207,falling
Minnesota United FC,club,0.888889,24,155,0.142195,0.030941,0.009666,0.9,2020,club_cooccurrence,0.001186,stable
FC Cincinnati,club,0.777778,21,104,0.092116,0.022681,0.030681,0.818182,2020,club_cooccurrence,-0.007329,falling
D.C. United,club,0.888889,24,136,0.121938,0.028217,0.022914,0.9,2020,club_cooccurrence,-0.006145,falling
Columbus Crew,club,1.0,27,157,0.14057,0.031793,0.012346,1.0,2020,club_cooccurrence,0.000988,stable
New York Red Bulls,club,0.740741,20,89,0.075608,0.020278,0.090999,0.794118,2020,club_cooccurrence,1.8e-05,stable
San Jose Earthquakes,club,0.740741,20,109,0.105036,0.023157,0.027066,0.794118,2020,club_cooccurrence,0.002889,rising
Colorado Rapids,club,0.5,13,54,0.26191,0.047727,0.010393,0.666667,2020_Q1,club_cooccurrence,0.013998,rising
Houston Dynamo FC,club,0.230769,6,15,0.061688,0.017596,0.000615,0.541667,2020_Q1,club_cooccurrence,-0.009336,falling
Atlanta United FC,club,0.461538,12,34,0.124565,0.034861,0.03159,0.65,2020_Q1,club_cooccurrence,-0.006978,falling
Charlotte FC,club,0.192308,5,12,0.041407,0.015263,0.011949,0.52,2020_Q1,club_cooccurrence,-0.00018,stable
Seattle Sounders FC,club,0.576923,15,50,0.165697,0.046371,0.024786,0.702703,2020_Q1,club_cooccurrence,-0.034451,falling
FC Dallas,club,0.423077,11,54,0.273907,0.047615,0.007795,0.634146,2020_Q1,club_cooccurrence,0.001598,stable
CF Montreal,club,0.653846,17,64,0.217004,0.059055,0.008205,0.742857,2020_Q1,club_cooccurrence,0.007857,rising
Nashville SC,club,0.576923,15,66,0.311357,0.058178,0.023556,0.702703,2020_Q1,club_cooccurrence,0.023387,rising
Philadelphia Union,club,0.423077,11,27,0.102902,0.027481,0.03947,0.634146,2020_Q1,club_cooccurrence,-0.001875,stable
Austin FC,club,0.423077,11,34,0.155949,0.033021,0.01641,0.634146,2020_Q1,club_cooccurrence,0.009153,rising
LAFC,club,0.769231,20,96,0.42527,0.083378,0.058495,0.8125,2020_Q1,club_cooccurrence,0.016468,rising
Orlando City SC,club,0.461538,12,35,0.133947,0.034252,0.014735,0.65,2020_Q1,club_cooccurrence,-0.008828,falling
Vancouver Whitecaps FC,club,0.576923,15,64,0.312301,0.055292,0.013128,0.702703,2020_Q1,club_cooccurrence,0.021936,rising
Real Salt Lake,club,0.423077,11,28,0.0912,0.029382,0.031703,0.634146,2020_Q1,club_cooccurrence,-0.003696,falling
Inter Miami CF,club,0.615385,16,51,0.220723,0.046367,0.068154,0.722222,2020_Q1,club_cooccurrence,0.011066,rising
Portland Timbers,club,0.384615,10,24,0.097965,0.026077,0.042692,0.619048,2020_Q1,club_cooccurrence,-0.023951,falling
LA Galaxy,club,0.807692,21,102,0.445844,0.087487,0.069768,0.83871,2020_Q1,club_cooccurrence,0.033069,rising
Toronto FC,club,0.538462,14,32,0.104852,0.03228,0.053529,0.684211,2020_Q1,club_cooccurrence,-0.031494,falling
Chicago Fire FC,club,0.346154,9,30,0.124845,0.029263,0.047209,0.604651,2020_Q1,club_cooccurrence,0.004486,rising
Sporting Kansas City,club,0.384615,10,29,0.103301,0.029002,0.005744,0.619048,2020_Q1,club_cooccurrence,0.010807,rising
New York City FC,club,0.576923,15,38,0.128365,0.037202,0.124863,0.702703,2020_Q1,club_cooccurrence,0.004321,rising
D.C. United,club,0.269231,7,22,0.06571,0.025407,0.006098,0.577778,2020_Q1,club_cooccurrence,-0.007236,falling
Columbus Crew,club,0.269231,7,16,0.033562,0.021096,0.02535,0.577778,2020_Q1,club_cooccurrence,-0.00822,falling
FC Cincinnati,club,0.230769,6,16,0.040166,0.019871,0.007026,0.553191,2020_Q1,club_cooccurrence,-0.002649,falling
New York Red Bulls,club,0.269231,7,19,0.049212,0.022802,0.01365,0.577778,2020_Q1,club_cooccurrence,0.004915,rising
Minnesota United FC,club,0.153846,4,8,0.036099,0.012579,0.009132,0.530612,2020_Q1,club_cooccurrence,-0.01867,falling
San Jose Earthquakes,club,0.307692,8,18,0.051901,0.021096,0.019675,0.577778,2020_Q1,club_cooccurrence,0.002155,rising
Colorado Rapids,club,0.56,14,58,0.184483,0.052127,0.064365,0.694444,2020_Q2,club_cooccurrence,0.017837,rising
FC Dallas,club,0.32,8,32,0.108735,0.030521,0.016944,0.568182,2020_Q2,club_cooccurrence,-0.017118,falling
LA Galaxy,club,0.56,14,53,0.159265,0.04943,0.146448,0.657895,2020_Q2,club_cooccurrence,-0.015341,falling
LAFC,club,0.48,12,61,0.236461,0.051109,0.014722,0.625,2020_Q2,club_cooccurrence,-0.027349,falling
Nashville SC,club,0.6,15,79,0.304811,0.063931,0.00375,0.714286,2020_Q2,club_cooccurrence,0.015056,rising
Vancouver Whitecaps FC,club,0.6,15,73,0.254585,0.061781,0.000556,0.714286,2020_Q2,club_cooccurrence,0.018286,rising
Minnesota United FC,club,0.48,12,51,0.182594,0.044833,0.015556,0.641026,2020_Q2,club_cooccurrence,0.021963,rising
Portland Timbers,club,0.52,13,40,0.159391,0.0351,0.09996,0.675676,2020_Q2,club_cooccurrence,0.000578,stable
D.C. United,club,0.12,3,7,0.007732,0.013357,0.0,0.423729,2020_Q2,club_cooccurrence,-0.015631,falling
New England Revolution,club,0.24,6,14,0.027737,0.020481,0.045694,0.531915,2020_Q2,club_cooccurrence,0.002178,rising
San Jose Earthquakes,club,0.24,6,14,0.046672,0.018703,0.03,0.531915,2020_Q2,club_cooccurrence,0.001501,stable
Atlanta United FC,club,0.36,9,54,0.251231,0.044971,0.0,0.595238,2020_Q2,club_cooccurrence,0.002629,rising
New York City FC,club,0.2,5,13,0.054816,0.015491,0.021111,0.543478,2020_Q2,club_cooccurrence,-0.022569,falling
Seattle Sounders FC,club,0.6,15,77,0.301502,0.065398,0.074147,0.657895,2020_Q2,club_cooccurrence,-0.007093,falling
Toronto FC,club,0.64,16,87,0.346727,0.071293,0.042143,0.714286,2020_Q2,club_cooccurrence,0.01449,rising
CF Montreal,club,0.72,18,76,0.24804,0.075609,0.232421,0.757576,2020_Q2,club_cooccurrence,0.02044,rising
Sporting Kansas City,club,0.24,6,12,0.034781,0.016328,0.092917,0.568182,2020_Q2,club_cooccurrence,-0.004683,falling
Chicago Fire FC,club,0.12,3,7,0.025269,0.011248,0.026865,0.520833,2020_Q2,club_cooccurrence,-0.012288,falling
Philadelphia Union,club,0.4,10,47,0.187248,0.041011,0.036151,0.625,2020_Q2,club_cooccurrence,0.012818,rising
Inter Miami CF,club,0.4,10,39,0.161136,0.034531,0.035754,0.625,2020_Q2,club_cooccurrence,-0.00841,falling
Houston Dynamo FC,club,0.32,8,18,0.053851,0.021755,0.139563,0.595238,2020_Q2,club_cooccurrence,0.000718,stable
New York Red Bulls,club,0.04,1,2,0.007747,0.00746,0.0,0.438596,2020_Q2,club_cooccurrence,-0.012369,falling
FC Cincinnati,club,0.12,3,6,0.015192,0.011043,0.013333,0.490196,2020_Q2,club_cooccurrence,-0.009653,falling
Real Salt Lake,club,0.44,11,62,0.287419,0.050736,0.0125,0.625,2020_Q2,club_cooccurrence,0.016221,rising
Columbus Crew,club,0.04,1,3,0.011621,0.008306,0.0,0.438596,2020_Q2,club_cooccurrence,-0.01435,falling
Orlando City SC,club,0.56,14,105,0.407195,0.083448,0.0,0.694444,2020_Q2,club_cooccurrence,0.046667,rising
Austin FC,club,0.111111,3,12,0.014124,0.015266,0.001425,0.519231,2020_Q3,club_cooccurrence,-0.009987,falling
Charlotte FC,club,0.111111,3,12,0.014124,0.015266,0.001425,0.519231,2020_Q3,club_cooccurrence,0.00135,stable
Colorado Rapids,club,0.37037,10,23,0.056786,0.015302,0.068993,0.613636,2020_Q3,club_cooccurrence,-0.028808,falling
Columbus Crew,club,0.666667,18,65,0.155279,0.034849,0.036895,0.75,2020_Q3,club_cooccurrence,0.014451,rising
FC Cincinnati,club,0.592593,16,41,0.099854,0.023476,0.087447,0.710526,2020_Q3,club_cooccurrence,0.005611,rising
Nashville SC,club,0.703704,19,106,0.274666,0.051812,0.030698,0.771429,2020_Q3,club_cooccurrence,-0.005809,falling
Orlando City SC,club,0.962963,26,187,0.408028,0.090588,0.075193,0.964286,2020_Q3,club_cooccurrence,0.028561,rising
Real Salt Lake,club,0.555556,15,66,0.160898,0.033999,0.009361,0.692308,2020_Q3,club_cooccurrence,-0.005124,falling
Toronto FC,club,0.851852,23,160,0.373742,0.076021,0.009049,0.870968,2020_Q3,club_cooccurrence,0.021451,rising
D.C. United,club,0.703704,19,83,0.204228,0.042231,0.033313,0.771429,2020_Q3,club_cooccurrence,0.019904,rising
FC Dallas,club,0.62963,17,81,0.226013,0.040432,0.058713,0.72973,2020_Q3,club_cooccurrence,0.0019,stable
New England Revolution,club,0.333333,9,32,0.090825,0.019264,0.007835,0.6,2020_Q3,club_cooccurrence,-0.000128,stable
Philadelphia Union,club,0.518519,14,49,0.125435,0.026605,0.002374,0.675,2020_Q3,club_cooccurrence,-0.008273,falling
Inter Miami CF,club,0.777778,21,89,0.205806,0.044928,0.030793,0.818182,2020_Q3,club_cooccurrence,0.004001,rising
CF Montreal,club,0.851852,23,125,0.291626,0.06074,0.030586,0.870968,2020_Q3,club_cooccurrence,-0.004383,falling
LAFC,club,0.666667,18,107,0.239165,0.052131,0.001662,0.75,2020_Q3,club_cooccurrence,-0.010918,falling
Vancouver Whitecaps FC,club,0.814815,22,95,0.228608,0.04691,0.055389,0.84375,2020_Q3,club_cooccurrence,-0.00881,falling
New York City FC,club,0.592593,16,57,0.136686,0.033834,0.07811,0.710526,2020_Q3,club_cooccurrence,0.006246,rising
Houston Dynamo FC,club,0.518519,14,51,0.129073,0.027534,0.027425,0.675,2020_Q3,club_cooccurrence,0.006258,rising
Minnesota United FC,club,0.62963,17,53,0.118459,0.028889,0.02657,0.72973,2020_Q3,club_cooccurrence,-0.000562,stable
Sporting Kansas City,club,0.37037,10,30,0.073423,0.018327,0.022982,0.613636,2020_Q3,club_cooccurrence,-0.004417,falling
Portland Timbers,club,0.740741,20,120,0.27097,0.057781,0.0,0.794118,2020_Q3,club_cooccurrence,0.023041,rising
Atlanta United FC,club,0.37037,10,38,0.099214,0.021909,0.012464,0.613636,2020_Q3,club_cooccurrence,-0.015189,falling
Chicago Fire FC,club,0.259259,7,16,0.038014,0.012528,0.054084,0.574468,2020_Q3,club_cooccurrence,-0.006879,falling
New York Red Bulls,club,0.407407,11,36,0.07958,0.021714,0.022626,0.627907,2020_Q3,club_cooccurrence,0.004867,rising
Seattle Sounders FC,club,0.481481,13,65,0.159085,0.03312,0.014862,0.658537,2020_Q3,club_cooccurrence,-0.020628,falling
LA Galaxy,club,0.444444,12,57,0.137969,0.029593,0.006268,0.642857,2020_Q3,club_cooccurrence,-0.031212,falling
San Jose Earthquakes,club,0.444444,12,46,0.104888,0.024951,0.01529,0.613636,2020_Q3,club_cooccurrence,0.003966,rising
Real Salt Lake,club,0.28,7,19,0.223462,0.039461,0.006278,0.520833,2020_Q4,club_cooccurrence,0.001422,stable
Seattle Sounders FC,club,0.56,14,46,0.378499,0.097553,0.068778,0.675676,2020_Q4,club_cooccurrence,0.049257,rising
Sporting Kansas City,club,0.28,7,19,0.221928,0.039447,0.007389,0.520833,2020_Q4,club_cooccurrence,0.018228,rising
San Jose Earthquakes,club,0.08,2,6,0.064711,0.01775,0.0,0.431034,2020_Q4,club_cooccurrence,-0.003833,falling
Colorado Rapids,club,0.04,1,2,0.010528,0.009967,0.0,0.362319,2020_Q4,club_cooccurrence,-0.028418,falling
Minnesota United FC,club,0.36,9,20,0.144196,0.049383,0.111667,0.555556,2020_Q4,club_cooccurrence,0.020616,rising
Columbus Crew,club,0.52,13,39,0.35632,0.079748,0.079722,0.625,2020_Q4,club_cooccurrence,0.058331,rising
FC Dallas,club,0.16,4,9,0.083535,0.022644,0.003333,0.446429,2020_Q4,club_cooccurrence,-0.016879,falling
LA Galaxy,club,0.08,2,4,0.053651,0.012851,0.001667,0.438596,2020_Q4,club_cooccurrence,-0.042652,falling
Orlando City SC,club,0.4,10,29,0.308167,0.058744,0.023444,0.581395,2020_Q4,club_cooccurrence,-0.010685,falling
CF Montreal,club,0.64,16,46,0.379022,0.100941,0.227389,0.714286,2020_Q4,club_cooccurrence,0.035806,rising
New York Red Bulls,club,0.12,3,7,0.04621,0.020605,0.006667,0.462963,2020_Q4,club_cooccurrence,0.00328,rising
Philadelphia Union,club,0.48,12,31,0.263333,0.066709,0.131889,0.641026,2020_Q4,club_cooccurrence,0.03501,rising
Nashville SC,club,0.12,3,6,0.059587,0.018189,0.003333,0.471698,2020_Q4,club_cooccurrence,-0.039785,falling
Houston Dynamo FC,club,0.08,2,4,0.012024,0.016701,0.01,0.384615,2020_Q4,club_cooccurrence,-0.005594,falling
LAFC,club,0.24,6,16,0.129292,0.044895,0.162556,0.520833,2020_Q4,club_cooccurrence,-0.017311,falling
FC Cincinnati,club,0.24,6,14,0.149473,0.031793,0.001111,0.531915,2020_Q4,club_cooccurrence,0.013663,rising
Toronto FC,club,0.44,11,34,0.343384,0.070782,0.1655,0.625,2020_Q4,club_cooccurrence,0.010917,rising
Vancouver Whitecaps FC,club,0.32,8,25,0.294421,0.050477,0.001778,0.543478,2020_Q4,club_cooccurrence,-0.004184,falling
New York City FC,club,0.08,2,4,0.034515,0.01465,0.0,0.446429,2020_Q4,club_cooccurrence,-0.014192,falling
Portland Timbers,club,0.24,6,15,0.158432,0.033667,0.001111,0.531915,2020_Q4,club_cooccurrence,-0.005986,falling
Chicago Fire FC,club,0.04,1,2,0.00944,0.010539,0.0,0.347222,2020_Q4,club_cooccurrence,-0.007141,falling
Atlanta United FC,club,0.04,1,2,0.006842,0.01092,0.0,0.362319,2020_Q4,club_cooccurrence,-0.022994,falling
Inter Miami CF,club,0.32,8,16,0.093709,0.04847,0.178333,0.555556,2020_Q4,club_cooccurrence,0.006528,rising
New England Revolution,club,0.12,3,6,0.035393,0.021749,0.041222,0.480769,2020_Q4,club_cooccurrence,0.001876,stable
Austin FC,club,0.04,1,3,0.04151,0.011365,0.0,0.423729,2020_Q4,club_cooccurrence,-0.012779,falling
Austin FC,club,0.821429,23,120,0.124723,0.027158,0.00791,0.823529,2021,club_cooccurrence,0.013842,rising
CF Montreal,club,0.964286,27,218,0.233486,0.044973,0.006261,0.965517,2021,club_cooccurrence,-0.034124,falling
Portland Timbers,club,0.928571,26,204,0.225657,0.042369,0.013951,0.933333,2021,club_cooccurrence,0.000186,stable
Vancouver Whitecaps FC,club,0.857143,24,136,0.145112,0.029884,0.071505,0.875,2021,club_cooccurrence,-0.023172,falling
Philadelphia Union,club,0.892857,25,230,0.25533,0.050915,0.079012,0.903226,2021,club_cooccurrence,0.00614,rising
Toronto FC,club,0.821429,23,186,0.209863,0.038724,0.001363,0.848485,2021,club_cooccurrence,-0.033975,falling
Columbus Crew,club,0.928571,26,170,0.181842,0.036139,0.0,0.933333,2021,club_cooccurrence,-0.004829,falling
FC Cincinnati,club,0.928571,26,129,0.13614,0.028827,0.07866,0.933333,2021,club_cooccurrence,0.006723,rising
Houston Dynamo FC,club,0.928571,26,141,0.14956,0.031007,0.012743,0.933333,2021,club_cooccurrence,0.00901,rising
San Jose Earthquakes,club,0.785714,22,101,0.100861,0.023666,0.044136,0.8,2021,club_cooccurrence,0.003198,rising
Orlando City SC,club,0.928571,26,236,0.253735,0.048121,0.000529,0.933333,2021,club_cooccurrence,-0.029472,falling
Sporting Kansas City,club,0.892857,25,169,0.189892,0.035843,0.01433,0.903226,2021,club_cooccurrence,0.011142,rising
Chicago Fire FC,club,0.857143,24,152,0.171548,0.032564,0.006614,0.875,2021,club_cooccurrence,0.021126,rising
New York Red Bulls,club,0.857143,24,163,0.182693,0.034769,0.030133,0.875,2021,club_cooccurrence,0.018176,rising
Colorado Rapids,club,0.892857,25,160,0.177771,0.034418,0.014697,0.903226,2021,club_cooccurrence,0.008619,rising
Minnesota United FC,club,0.75,21,109,0.11948,0.024997,0.023765,0.8,2021,club_cooccurrence,-0.016038,falling
LA Galaxy,club,0.964286,27,198,0.206084,0.04145,0.0,0.965517,2021,club_cooccurrence,0.010825,rising
Seattle Sounders FC,club,0.964286,27,309,0.31106,0.061959,0.0,0.965517,2021,club_cooccurrence,-0.003398,falling
New England Revolution,club,0.964286,27,232,0.261418,0.047254,0.008943,0.965517,2021,club_cooccurrence,0.026756,rising
Real Salt Lake,club,0.964286,27,188,0.202035,0.039487,0.024339,0.965517,2021,club_cooccurrence,-0.001912,stable
Inter Miami CF,club,0.75,21,137,0.154528,0.029937,0.008418,0.8,2021,club_cooccurrence,-0.012706,falling
Nashville SC,club,0.892857,25,141,0.152818,0.030912,0.007055,0.903226,2021,club_cooccurrence,-0.013732,falling
Atlanta United FC,club,0.892857,25,144,0.161935,0.031315,0.007227,0.903226,2021,club_cooccurrence,0.005382,rising
D.C. United,club,0.857143,24,144,0.162071,0.03117,0.035975,0.875,2021,club_cooccurrence,0.003376,rising
New York City FC,club,0.928571,26,243,0.269601,0.049476,0.001323,0.933333,2021,club_cooccurrence,0.028151,rising
FC Dallas,club,0.821429,23,100,0.103993,0.023409,0.042813,0.823529,2021,club_cooccurrence,-0.00779,falling
LAFC,club,0.892857,25,133,0.142725,0.029364,0.079089,0.903226,2021,club_cooccurrence,-0.020014,falling
St. Louis City SC,club,0.035714,1,3,0.004198,0.005737,0.0,0.482759,2021,club_cooccurrence,0.0,stable
Charlotte FC,club,0.607143,17,50,0.058757,0.014154,0.17681,0.717949,2021,club_cooccurrence,-0.001112,stable
Austin FC,club,0.333333,8,19,0.305694,0.064623,0.100242,0.533333,2021_Q1,club_cooccurrence,0.046693,rising
CF Montreal,club,0.291667,7,22,0.379587,0.070304,0.018116,0.470588,2021_Q1,club_cooccurrence,0.001419,stable
Portland Timbers,club,0.166667,4,11,0.239392,0.036797,0.006651,0.421053,2021_Q1,club_cooccurrence,-0.007809,falling
Vancouver Whitecaps FC,club,0.208333,5,11,0.22814,0.037187,0.019393,0.470588,2021_Q1,club_cooccurrence,-0.005237,falling
Philadelphia Union,club,0.125,3,8,0.184415,0.028191,0.0,0.380952,2021_Q1,club_cooccurrence,-0.019885,falling
Toronto FC,club,0.375,9,21,0.344637,0.068314,0.185407,0.521739,2021_Q1,club_cooccurrence,0.006472,rising
Columbus Crew,club,0.333333,8,19,0.243903,0.072637,0.285358,0.55814,2021_Q1,club_cooccurrence,0.022392,rising
FC Cincinnati,club,0.083333,2,4,0.075109,0.018281,0.0,0.40678,2021_Q1,club_cooccurrence,-0.009751,falling
